w_recon,w_latent,w_gamma,val_macro_auroc,auroc_chb10,auroc_chb11,auroc_chb22
0.85,0.05,0.10,0.736167,0.372699,0.935225,0.900578
0.85,0.10,0.05,0.699156,0.365331,0.906263,0.825874
0.85,0.15,0.00,0.641638,0.357549,0.857709,0.709657
0.90,0.00,0.10,0.719748,0.341916,0.932539,0.884789
0.90,0.05,0.05,0.680478,0.330280,0.903682,0.807472
0.90,0.10,0.00,0.622846,0.319830,0.856416,0.692291
0.95,0.00,0.05,0.663707,0.303524,0.900466,0.787132
0.95,0.05,0.00,0.606243,0.290132,0.854318,0.674278
1.00,0.00,0.00,0.591983,0.268036,0.851659,0.656253
0.333333,0.333333,0.333333,0.928322,0.849995,0.956370,0.978602
