weight,mag_pct,subject,pen_mult,n_seizures,tp,fp,n_ref,n_hyp,sensitivity,precision,f1,fp_per_day,fp_rate_full,mean_lat_s,n_inter_h
new_decision19,50.0,chb13,10.0,12,2,9,12,13,0.16666666666666666,0.18181818181818182,0.17391304347826086,6.577344701583435,6.545454545454546,10.0,32.84
new_decision19,55.0,chb13,0.3,12,10,92,12,208,0.8333333333333334,0.09803921568627451,0.17543859649122806,67.23507917174177,66.9090909090909,-2.4,32.84
new_decision19,55.0,chb13,0.5,12,10,78,12,168,0.8333333333333334,0.11363636363636363,0.2,57.00365408038976,56.72727272727273,-4.4,32.84
new_decision19,55.0,chb13,1.0,12,10,61,12,105,0.8333333333333334,0.14084507042253522,0.24096385542168675,44.57978075517661,44.36363636363637,-6.4,32.84
new_decision19,55.0,chb13,2.0,12,10,40,12,66,0.8333333333333334,0.2,0.3225806451612903,29.232643118148594,29.09090909090909,-6.4,32.84
new_decision19,55.0,chb13,5.0,12,6,17,12,30,0.5,0.2608695652173913,0.34285714285714286,12.423873325213155,12.363636363636363,17.333333333333332,32.84
new_decision19,55.0,chb13,10.0,12,2,8,12,12,0.16666666666666666,0.2,0.18181818181818182,5.84652862362972,5.818181818181818,10.0,32.84
new_decision19,60.0,chb13,0.3,12,10,83,12,189,0.8333333333333334,0.10752688172043011,0.19047619047619047,60.65773447015834,60.36363636363637,-2.4,32.84
new_decision19,60.0,chb13,0.5,12,10,77,12,154,0.8333333333333334,0.11494252873563218,0.20202020202020202,56.272838002436046,56.0,-4.4,32.84
new_decision19,60.0,chb13,1.0,12,10,55,12,96,0.8333333333333334,0.15384615384615385,0.2597402597402597,40.19488428745432,40.0,-6.4,32.84
new_decision19,60.0,chb13,2.0,12,9,37,12,60,0.75,0.1956521739130435,0.3103448275862069,27.04019488428745,26.90909090909091,-4.888888888888889,32.84
new_decision19,60.0,chb13,5.0,12,6,16,12,28,0.5,0.2727272727272727,0.35294117647058826,11.69305724725944,11.636363636363637,17.333333333333332,32.84
new_decision19,60.0,chb13,10.0,12,2,7,12,11,0.16666666666666666,0.2222222222222222,0.19047619047619047,5.115712545676004,5.090909090909091,10.0,32.84
new_decision19,65.0,chb13,0.3,12,10,77,12,170,0.8333333333333334,0.11494252873563218,0.20202020202020202,56.272838002436046,56.0,-2.4,32.84
new_decision19,65.0,chb13,0.5,12,10,66,12,139,0.8333333333333334,0.13157894736842105,0.22727272727272727,48.23386114494518,48.0,-4.4,32.84
new_decision19,65.0,chb13,1.0,12,10,48,12,86,0.8333333333333334,0.1724137931034483,0.2857142857142857,35.07917174177832,34.90909090909091,-6.4,32.84
new_decision19,65.0,chb13,2.0,12,9,32,12,54,0.75,0.21951219512195122,0.33962264150943394,23.38611449451888,23.272727272727273,1.7777777777777777,32.84
new_decision19,65.0,chb13,5.0,12,6,14,12,26,0.5,0.3,0.375,10.231425091352008,10.181818181818182,17.333333333333332,32.84
new_decision19,65.0,chb13,10.0,12,2,6,12,10,0.16666666666666666,0.25,0.2,4.38489646772229,4.363636363636363,10.0,32.84
new_decision19,70.0,chb13,0.3,12,10,68,12,150,0.8333333333333334,0.1282051282051282,0.2222222222222222,49.69549330085262,49.45454545454545,-4.4,32.84
new_decision19,70.0,chb13,0.5,12,10,57,12,124,0.8333333333333334,0.14925373134328357,0.25316455696202533,41.65651644336175,41.45454545454545,-4.4,32.84
new_decision19,70.0,chb13,1.0,12,9,43,12,76,0.75,0.17307692307692307,0.28125,31.425091352009744,31.272727272727273,-4.888888888888889,32.84
new_decision19,70.0,chb13,2.0,12,9,28,12,47,0.75,0.24324324324324326,0.3673469387755102,20.462850182704017,20.363636363636363,8.444444444444445,32.84
new_decision19,70.0,chb13,5.0,12,6,12,12,23,0.5,0.3333333333333333,0.4,8.76979293544458,8.727272727272727,17.333333333333332,32.84
new_decision19,70.0,chb13,10.0,12,2,6,12,10,0.16666666666666666,0.25,0.2,4.38489646772229,4.363636363636363,10.0,32.84
new_decision19,75.0,chb13,0.3,12,10,57,12,131,0.8333333333333334,0.14925373134328357,0.25316455696202533,41.65651644336175,41.45454545454545,-4.4,32.84
new_decision19,75.0,chb13,0.5,12,10,46,12,108,0.8333333333333334,0.17857142857142858,0.29411764705882354,33.61753958587089,33.45454545454545,-4.4,32.84
new_decision19,75.0,chb13,1.0,12,9,35,12,66,0.75,0.20454545454545456,0.32142857142857145,25.57856272838002,25.454545454545453,-0.4444444444444444,32.84
new_decision19,75.0,chb13,2.0,12,9,23,12,42,0.75,0.28125,0.4090909090909091,16.808769792935443,16.727272727272727,8.444444444444445,32.84
new_decision19,75.0,chb13,5.0,12,6,10,12,21,0.5,0.375,0.42857142857142855,7.308160779537149,7.2727272727272725,17.333333333333332,32.84
new_decision19,75.0,chb13,10.0,12,2,5,12,9,0.16666666666666666,0.2857142857142857,0.21052631578947367,3.6540803897685743,3.6363636363636362,10.0,32.84
new_decision19,80.0,chb13,0.3,12,10,45,12,110,0.8333333333333334,0.18181818181818182,0.29850746268656714,32.88672350791717,32.72727272727273,-4.4,32.84
new_decision19,80.0,chb13,0.5,12,9,36,12,91,0.75,0.2,0.3157894736842105,26.30937880633374,26.181818181818183,-2.6666666666666665,32.84
new_decision19,80.0,chb13,1.0,12,9,30,12,56,0.75,0.23076923076923078,0.35294117647058826,21.924482338611448,21.818181818181817,6.222222222222222,32.84
new_decision19,80.0,chb13,2.0,12,7,19,12,34,0.5833333333333334,0.2692307692307692,0.3684210526315789,13.885505481120584,13.818181818181818,2.2857142857142856,32.84
new_decision19,80.0,chb13,5.0,12,6,8,12,19,0.5,0.42857142857142855,0.46153846153846156,5.84652862362972,5.818181818181818,17.333333333333332,32.84
