seed,subject,mag_pct,pen_mult,tp,fp,n_seizures,n_inter_h,sensitivity,precision,fp_per_day,window_auroc
42,chb16,75.0,2.0,0,8,10,18.97,0.0,0.0,10.121836925960638,0.8763
42,chb16,80.0,2.0,0,6,10,18.97,0.0,0.0,7.591377694470479,0.8763
42,chb16,40.0,5.0,0,13,10,18.97,0.0,0.0,16.447985004686036,0.8763
42,chb16,50.0,5.0,0,11,10,18.97,0.0,0.0,13.917525773195877,0.8763
42,chb16,55.0,5.0,0,10,10,18.97,0.0,0.0,12.6522961574508,0.8763
42,chb16,60.0,5.0,0,9,10,18.97,0.0,0.0,11.387066541705718,0.8763
42,chb16,65.0,5.0,0,8,10,18.97,0.0,0.0,10.121836925960638,0.8763
42,chb16,70.0,5.0,0,6,10,18.97,0.0,0.0,7.591377694470479,0.8763
42,chb16,75.0,5.0,0,5,10,18.97,0.0,0.0,6.326148078725399,0.8763
42,chb16,80.0,5.0,0,4,10,18.97,0.0,0.0,5.060918462980319,0.8763
42,chb16,40.0,10.0,0,7,10,18.97,0.0,0.0,8.856607310215558,0.8763
42,chb16,50.0,10.0,0,6,10,18.97,0.0,0.0,7.591377694470479,0.8763
42,chb16,55.0,10.0,0,5,10,18.97,0.0,0.0,6.326148078725399,0.8763
42,chb16,60.0,10.0,0,5,10,18.97,0.0,0.0,6.326148078725399,0.8763
